Year,MALATHION(QTY)(kg),DIMETHOATE(QTY)(kg),D.D.V.P.(QTY)(kg),COPPER OXYCHLORIDE(QTY)(kg),CARBARYL(QTY)(kg),CARBOSULPHAN(QTY)(kg)
1950,662,874,1439,1127,1393,1019
1951,663,875,1440,1128,1394,1020
1952,664,876,1441,1129,1395,1021
1953,665,877,1442,1130,1396,1022
1954,666,878,1443,1131,1397,1023
1955,667,879,1444,1132,1398,1024
1956,668,880,1445,1133,1399,1025
1957,669,881,1446,1134,1400,1026
1958,670,882,1447,1135,1401,1027
1959,671,883,1448,1136,1402,1028
1960,672,884,1449,1137,1403,1029
1961,673,885,1450,1138,1404,1030
1962,674,886,1451,1139,1405,1031
1963,675,887,1452,1140,1406,1032
1964,676,888,1453,1141,1407,1033
1965,677,889,1454,1142,1408,1034
1966,643,855,1420,1108,1374,1000
1967,644,856,1421,1109,1375,1001
1968,645,857,1422,1110,1376,1002
1969,646,858,1423,1111,1377,1003
1970,647,859,1424,1112,1378,1004
1971,648,860,1425,1113,1379,1005
1972,649,861,1426,1114,1380,1006
1973,650,862,1427,1115,1381,1007
1974,651,863,1428,1116,1382,1008
1975,652,864,1429,1117,1383,1009
1976,653,865,1430,1118,1384,1010
1977,654,866,1431,1119,1385,1011
1978,655,867,1432,1120,1386,1012
1979,656,868,1433,1121,1387,1013
1980,657,869,1434,1122,1388,1014
