Year,Rice(kg/hectare),Ragi,Small Millets,Tur ,Gram,Groundnuts,Sessasum,Sugarcane,Chillies,Ginger,Tumeric,Maize,Potato,Wheat,Other Pulses,Barley
1950,2007,1241,1263,985,855,13,485,60774,21,64,10,1341,162,2124,689,1068
1951,2008,1242,1264,986,856,13,486,60775,22,65,11,1342,163,2125,690,1069
1952,2009,1243,1265,987,857,13,487,60776,23,66,12,1343,164,2126,691,1070
1953,2010,1244,1266,988,858,13,488,60777,24,67,13,1344,165,2127,692,1071
1954,2011,1245,1267,989,859,13,489,60778,25,68,14,1345,166,2128,693,1072
1955,2012,1246,1268,990,860,13,490,60779,26,69,15,1346,167,2129,694,1073
1956,2013,1247,1269,991,861,13,491,60780,27,70,11,1347,168,2130,695,1074
1957,2014,1248,1270,992,862,13,492,60781,28,71,12,1348,169,2131,696,1075
1958,2015,1249,1271,993,863,13,493,60782,29,72,13,1349,170,2132,697,1076
1959,2016,1250,1272,994,864,13,494,60783,30,73,10,1350,171,2133,698,1077
1960,2017,1251,1273,995,865,13,495,60784,31,74,11,1351,172,2134,699,1078
1961,1998,1232,1254,976,846,13,476,60765,12,55,8,1332,153,2115,680,1059
1962,1999,1233,1255,977,847,13,477,60766,13,56,4,1333,154,2116,681,1060
1963,2000,1234,1256,978,848,13,478,60767,14,57,5,1334,155,2117,682,1061
1964,2001,1235,1257,979,849,13,479,60768,15,58,6,1335,156,2118,683,1062
1965,2002,1236,1258,980,850,13,480,60769,16,59,7,1336,157,2119,684,1063
1966,2003,1237,1259,981,851,13,481,60770,17,60,8,1337,158,2120,685,1064
1967,2004,1238,1260,982,852,13,482,60771,18,61,9,1338,159,2121,686,1065
1968,2005,1239,1261,983,853,13,483,60772,19,62,10,1339,160,2122,687,1066
1969,2006,1240,1262,984,854,13,484,60773,20,63,11,1340,161,2123,688,1067
1970,2007,1241,1263,985,855,13,485,60774,21,64,12,1341,162,2124,689,1068
1971,2008,1242,1264,986,856,13,486,60775,22,65,13,1342,163,2125,690,1069
1972,2009,1243,1265,987,857,13,487,60776,23,66,14,1343,164,2126,691,1070
1973,2010,1244,1266,988,858,13,488,60777,24,67,15,1344,165,2127,692,1071
1974,2011,1245,1267,989,859,13,489,60778,25,68,8,1345,166,2128,693,1072
1975,2012,1246,1268,990,860,13,490,60779,26,69,9,1346,167,2129,694,1073
1976,2013,1247,1269,991,861,13,491,60780,27,70,10,1347,168,2130,695,1074
1977,2014,1248,1270,992,862,13,492,60781,28,71,8,1348,169,2131,696,1075
1978,2015,1249,1271,993,863,13,493,60782,29,72,9,1349,170,2132,697,1076
1979,2016,1250,1272,994,864,13,494,60783,30,73,10,1350,171,2133,698,1077
1980,2017,1251,1273,995,865,13,495,60784,31,74,11,1351,172,2134,699,1078
